                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.93029,                0.49343,                0.84345,                0.57675,                0.45283,                0.47239,                  0.292,                 1.1144,                0.79233,                0.88287,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.9328,                0.49638,                 0.8431,                0.56974,                0.45488,                0.47224,                0.29263,                 1.1141,                 0.7938,                0.88333,                0.00505,                0.00505,                0.00505
                    102,                0.92771,                0.49304,                0.84257,                0.58435,                0.45067,                0.47131,                0.29203,                 1.1144,                0.79386,                0.88312,              0.0050005,              0.0050005,              0.0050005
                    103,                0.92793,                0.49205,                0.84356,                0.58874,                0.44921,                0.47058,                0.29269,                 1.1134,                0.79344,                0.88285,               0.004951,               0.004951,               0.004951
                    104,                0.92699,                0.49012,                0.84324,                0.58038,                0.45224,                0.47058,                0.29119,                 1.1133,                0.79327,                0.88254,              0.0049015,              0.0049015,              0.0049015
                    105,                0.92365,                0.48936,                 0.8409,                0.58211,                0.45053,                0.46871,                0.29084,                 1.1132,                 0.7963,                0.88243,               0.004852,               0.004852,               0.004852
                    106,                0.92498,                0.48878,                 0.8406,                0.57738,                0.45476,                0.46884,                0.29007,                 1.1122,                0.79492,                0.88189,              0.0048025,              0.0048025,              0.0048025
                    107,                0.91621,                0.48424,                0.83955,                  0.586,                0.45299,                0.46858,                0.29053,                 1.1132,                0.79514,                0.88199,               0.004753,               0.004753,               0.004753
                    108,                0.91176,                0.48059,                0.83966,                0.58438,                0.45302,                0.46853,                0.29119,                 1.1141,                0.79559,                 0.8822,              0.0047035,              0.0047035,              0.0047035
                    109,                0.90856,                0.47985,                0.83798,                 0.5815,                0.45209,                0.46931,                0.29137,                 1.1137,                0.79728,                0.88199,               0.004654,               0.004654,               0.004654
                    110,                0.90571,                0.47879,                0.83781,                0.58315,                0.45392,                0.46938,                0.29056,                 1.1147,                0.79862,                0.88248,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.9069,                0.47865,                0.83741,                0.58438,                0.45175,                0.46916,                0.29077,                 1.1159,                 0.8001,                0.88313,               0.004555,               0.004555,               0.004555
                    112,                0.90649,                0.47747,                0.83866,                0.57881,                0.45258,                0.46901,                 0.2906,                  1.116,                 0.8001,                0.88329,              0.0045055,              0.0045055,              0.0045055
                    113,                0.90298,                0.47487,                0.83651,                0.57788,                 0.4518,                0.46931,                0.28999,                 1.1162,                0.80067,                0.88332,               0.004456,               0.004456,               0.004456
                    114,                0.89598,                0.46907,                0.83574,                0.57949,                0.45002,                0.46896,                0.29045,                 1.1163,                 0.8025,                0.88361,              0.0044065,              0.0044065,              0.0044065
                    115,                 0.8993,                 0.4706,                0.83652,                0.58197,                0.45182,                0.46948,                0.29103,                 1.1164,                0.80169,                0.88373,               0.004357,               0.004357,               0.004357
                    116,                0.89528,                0.46994,                0.83486,                0.58205,                0.45499,                0.47026,                0.29176,                 1.1162,                0.80316,                0.88358,              0.0043075,              0.0043075,              0.0043075
                    117,                0.88986,                0.46587,                0.83456,                0.57757,                0.45756,                0.47081,                0.29245,                 1.1159,                0.80348,                0.88357,               0.004258,               0.004258,               0.004258
                    118,                0.88292,                0.46308,                0.83452,                0.58783,                0.45474,                0.47145,                0.29275,                 1.1164,                0.80369,                0.88383,              0.0042085,              0.0042085,              0.0042085
                    119,                0.88507,                0.46439,                0.83452,                0.58985,                0.44967,                0.47099,                0.29227,                  1.117,                0.80482,                0.88402,               0.004159,               0.004159,               0.004159
                    120,                0.88468,                0.46282,                0.83349,                0.58354,                0.45387,                0.47127,                0.29254,                 1.1169,                 0.8057,                0.88416,              0.0041095,              0.0041095,              0.0041095
                    121,                0.88123,                0.45987,                0.83278,                 0.5936,                0.44904,                0.47105,                0.29258,                 1.1171,                0.80575,                0.88418,                0.00406,                0.00406,                0.00406
                    122,                0.88178,                0.46008,                0.83334,                0.59405,                0.45013,                0.47009,                 0.2922,                  1.117,                 0.8063,                 0.8841,              0.0040105,              0.0040105,              0.0040105
                    123,                0.87446,                 0.4562,                 0.8328,                0.58567,                0.45163,                0.46969,                0.29217,                 1.1182,                0.80732,                0.88451,               0.003961,               0.003961,               0.003961
                    124,                0.87277,                0.45564,                  0.832,                0.58489,                0.45066,                0.46927,                0.29164,                 1.1188,                0.80774,                0.88493,              0.0039115,              0.0039115,              0.0039115
                    125,                0.87002,                0.45421,                0.83126,                0.58222,                 0.4533,                0.46891,                0.29124,                 1.1193,                0.80765,                0.88521,               0.003862,               0.003862,               0.003862
                    126,                 0.8728,                0.45471,                0.83193,                0.58157,                0.45204,                0.46865,                0.29118,                 1.1201,                0.80897,                0.88544,              0.0038125,              0.0038125,              0.0038125
                    127,                0.86294,                0.44962,                0.83051,                0.59166,                0.44757,                0.46855,                0.29146,                 1.1202,                0.80925,                0.88565,               0.003763,               0.003763,               0.003763
                    128,                 0.8606,                0.44838,                0.82976,                0.59023,                0.44673,                0.46807,                0.29072,                 1.1208,                 0.8103,                0.88591,              0.0037135,              0.0037135,              0.0037135
                    129,                0.86117,                0.44622,                0.83013,                0.58885,                0.44603,                0.46714,                0.29011,                 1.1212,                0.81189,                0.88614,               0.003664,               0.003664,               0.003664
                    130,                0.85999,                0.44685,                0.82993,                 0.5931,                0.44346,                0.46702,                0.28962,                  1.121,                0.81115,                0.88633,              0.0036145,              0.0036145,              0.0036145
                    131,                 0.8602,                0.44533,                0.83015,                0.59234,                0.44565,                0.46748,                0.28958,                 1.1216,                0.81213,                0.88643,               0.003565,               0.003565,               0.003565
                    132,                0.85486,                0.44306,                0.82994,                0.59909,                0.44288,                0.46727,                0.28922,                 1.1224,                0.81089,                0.88665,              0.0035155,              0.0035155,              0.0035155
