                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.1311,                 0.6583,                0.84171,                 0.7767,                0.52493,                0.56307,                0.33795,                 1.4263,                0.69637,                 0.9367,               0.003664,               0.003664,               0.003664
                    130,                 1.1137,                 0.6447,                0.83839,                0.77783,                0.52525,                0.56384,                0.33813,                 1.4257,                0.69628,                 0.9368,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1043,                0.63639,                0.83807,                0.77656,                0.52497,                0.56394,                0.33803,                 1.4261,                0.69617,                0.93707,               0.003565,               0.003565,               0.003565
                    132,                 1.1112,                0.64488,                0.84035,                0.77724,                 0.5246,                0.56357,                0.33815,                 1.4261,                 0.6956,                0.93754,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.1003,                0.62819,                0.83722,                 0.7884,                0.52409,                 0.5636,                0.33869,                 1.4258,                0.69577,                0.93738,               0.003466,               0.003466,               0.003466
                    134,                 1.1062,                0.64138,                0.83812,                0.78602,                0.52411,                0.56372,                0.33844,                 1.4253,                0.69589,                0.93773,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.1051,                0.64249,                0.83726,                0.78606,                0.52411,                0.56379,                0.33849,                 1.4253,                0.69584,                0.93836,               0.003367,               0.003367,               0.003367
                    136,                 1.0949,                 0.6361,                0.83478,                0.78476,                0.52446,                0.56327,                0.33864,                 1.4247,                0.69612,                0.93849,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.1011,                0.63479,                0.83652,                0.78436,                0.52455,                0.56333,                 0.3384,                 1.4253,                0.69669,                 0.9385,               0.003268,               0.003268,               0.003268
                    138,                 1.0915,                0.63241,                0.83918,                0.78434,                0.52461,                 0.5636,                0.33866,                  1.426,                0.69652,                0.93866,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.1021,                0.63693,                0.83924,                 0.7809,                0.52477,                0.56319,                0.33869,                 1.4263,                0.69663,                0.93866,               0.003169,               0.003169,               0.003169
                    140,                 1.0933,                0.63735,                0.83616,                0.78146,                0.52617,                0.56313,                0.33895,                  1.426,                0.69633,                0.93891,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0873,                0.62655,                0.83272,                0.78258,                0.52496,                0.56338,                0.33872,                 1.4257,                 0.6958,                  0.939,                0.00307,                0.00307,                0.00307
                    142,                 1.0841,                0.62431,                0.83604,                0.78403,                 0.5258,                0.56328,                0.33895,                 1.4262,                 0.6959,                 0.9392,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0693,                0.62467,                0.83364,                0.78713,                0.52569,                 0.5637,                0.33894,                 1.4263,                0.69647,                0.93927,               0.002971,               0.002971,               0.002971
                    144,                 1.0763,                0.61833,                0.83242,                0.78631,                0.52569,                0.56366,                0.33914,                 1.4266,                0.69651,                0.93927,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0693,                0.61559,                0.83291,                0.78619,                 0.5258,                0.56362,                0.33895,                 1.4271,                0.69663,                0.93921,               0.002872,               0.002872,               0.002872
                    146,                 1.0719,                0.61553,                0.83352,                0.78693,                0.52596,                0.56396,                0.33905,                 1.4282,                0.69716,                0.93955,              0.0028225,              0.0028225,              0.0028225
                    147,                  1.068,                0.61046,                0.83155,                0.78581,                 0.5262,                0.56484,                0.33882,                  1.429,                0.69733,                0.93987,               0.002773,               0.002773,               0.002773
                    148,                 1.0547,                0.60853,                0.83063,                0.78501,                0.52623,                0.56466,                0.33847,                 1.4289,                0.69675,                0.93997,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0639,                0.61307,                0.83348,                0.78608,                0.52661,                0.56495,                0.33899,                 1.4293,                0.69611,                0.93999,               0.002674,               0.002674,               0.002674
                    150,                 1.0501,                0.61014,                0.83103,                0.78176,                0.52648,                0.56554,                0.33911,                 1.4291,                0.69636,                0.94039,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0553,                0.60541,                0.83264,                 0.7826,                0.52657,                0.56552,                0.33928,                  1.429,                0.69542,                0.94038,               0.002575,               0.002575,               0.002575
                    152,                 1.0513,                0.60902,                0.83296,                0.78644,                0.52603,                0.56484,                0.33888,                 1.4285,                 0.6955,                0.94009,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0436,                 0.6005,                0.82736,                0.78417,                0.52647,                0.56515,                0.33916,                 1.4282,                0.69551,                0.93989,               0.002476,               0.002476,               0.002476
                    154,                 1.0473,                0.60508,                0.83083,                0.78339,                0.52651,                0.56561,                0.33929,                 1.4275,                 0.6951,                0.93981,              0.0024265,              0.0024265,              0.0024265
